Rank,Name,Net Worth (B),Change,Age,Country,Source,Industry
1,Bernard Arnault & family,233,up arrow,75,France,LVMH,Fashion & Retail
2,Elon Musk,195,up arrow,52,United States,Tesla, SpaceX,Automotive
3,Jeff Bezos,194,up arrow,60,United States,Amazon,Technology
4,Mark Zuckerberg,177,up arrow,39,United States,Facebook,Technology
5,Larry Ellison,141,up arrow,79,United States,Oracle,Technology
6,Warren Buffett,133,up arrow,93,United States,Berkshire Hathaway,Finance & Investments
7,Bill Gates,128,up arrow,68,United States,Microsoft,Technology
8,Steve Ballmer,121,up arrow,68,United States,Microsoft,Technology
9,Mukesh Ambani,116,up arrow,66,India,Diversified,Diversified
10,Larry Page,114,up arrow,51,United States,Google,Technology
11,Sergey Brin,110,up arrow,50,United States,Google,Technology
12,Michael Bloomberg,106,up arrow,82,United States,Bloomberg LP,Finance & Investments
13,Amancio Ortega,103,up arrow,88,Spain,Zara,Fashion & Retail
14,Carlos Slim Helu & family,102,up arrow,84,Mexico,Telecom,Telecom
15,Francoise Bettencourt Meyers & family,99.5,up arrow,70,France,L'Oréal,Fashion & Retail
16,Michael Dell,91,up arrow,59,United States,Dell Technologies,Technology
17,Gautam Adani,84,up arrow,61,India,Infrastructure, commodities,Diversified
18,Jim Walton & family,78.4,up arrow,75,United States,Walmart,Fashion & Retail
19,Rob Walton & family,77.4,up arrow,79,United States,Walmart,Fashion & Retail
20,Jensen Huang,77,up arrow,61,United States,Semiconductors,Technology
21,Alice Walton,72.3,up arrow,74,United States,Walmart,Fashion & Retail
22,David Thomson & family,67.8,up arrow,66,Canada,Media,Media & Entertainment
23,Julia Koch & family,64.3,up arrow,61,United States,Koch Industries,Diversified
24,Zhong Shanshan,62.3,down arrow,69,China,Beverages, pharmaceuticals,Food & Beverage
25,Charles Koch & family,58.5,down arrow,88,United States,Koch Industries,Diversified
26,Giovanni Ferrero,43.8,up arrow,59,Italy,Nutella, chocolates,Food & Beverage
27,Prajogo Pangestu,43.4,up arrow,79,Indonesia,Petrochemicals, energy,Diversified
27,Zhang Yiming,43.4,down arrow,40,China,TikTok,Technology
29,Tadashi Yanai & family,42.8,up arrow,75,Japan,Fashion retail,Fashion & Retail
30,Phil Knight & family,40.9,down arrow,86,United States,Nike,Fashion & Retail
31,Mark Mateschitz,39.6,up arrow,31,Austria,Red Bull,Food & Beverage
32,Klaus-Michael Kuehne,39.2,up arrow,86,Germany,Shipping,Logistics
33,Colin Huang,38.9,up arrow,44,China,E-commerce,Technology
34,Stephen Schwarzman,38.8,up arrow,77,United States,Investments,Finance & Investments
35,Jacqueline Mars,38.5,up arrow,84,United States,Candy, pet food,Food & Beverage
35,John Mars,38.5,up arrow,88,United States,Candy, pet food,Food & Beverage
37,Dieter Schwarz,38,down arrow,84,Germany,Retail,Fashion & Retail
38,Li Ka-shing,37.3,down arrow,95,Hong Kong,Diversified,Diversified
39,Shiv Nadar,36.9,up arrow,78,India,Software services,Technology
40,Alain Wertheimer,36.8,up arrow,75,France,Chanel,Fashion & Retail
40,Gerard Wertheimer,36.8,up arrow,73,France,Chanel,Fashion & Retail
42,Ken Griffin,36.4,up arrow,55,United States,Hedge funds,Finance & Investments
43,MacKenzie Scott,35.6,up arrow,53,United States,Amazon,Technology
44,Thomas Peterffy,34,up arrow,79,United States,Discount brokerage,Finance & Investments
45,Reinhold Wuerth & family,33.6,up arrow,88,Germany,Fasteners,Manufacturing
46,William Ding,33.5,up arrow,52,China,Online games,Technology
46,Savitri Jindal & family,33.5,up arrow,74,India,Steel,Metals & Mining
48,Gianluigi Aponte,33.1,up arrow,83,Switzerland,Shipping,Logistics
48,Rafaela Aponte-Diamant,33.1,up arrow,79,Switzerland,Shipping,Logistics
50,Changpeng Zhao,33,up arrow,47,Canada,Cryptocurrency exchange,Finance & Investments
51,Masayoshi Son,32.7,up arrow,66,Japan,Telecom, investments,Finance & Investments
52,Len Blavatnik,32.1,unchanged,66,United States,Music, chemicals,Diversified
53,Miriam Adelson & family,32,down arrow,78,United States,Casinos,Gambling & Casinos
54,François Pinault & family,31.6,down arrow,87,France,Luxury goods,Fashion & Retail
55,Jim Simons,31.4,up arrow,85,United States,Hedge funds,Finance & Investments
56,Gina Rinehart,30.8,up arrow,70,Australia,Mining,Metals & Mining
57,Ma Huateng,30.2,down arrow,52,China,Online games,Technology
58,Abigail Johnson,29,up arrow,62,United States,Fidelity,Finance & Investments
59,Vagit Alekperov,28.6,up arrow,73,Russia,Oil,Energy
60,Eduardo Saverin,28,up arrow,42,Brazil,Facebook,Technology
60,Lukas Walton,28,up arrow,37,United States,Walmart,Fashion & Retail
62,Germán Larrea Mota Velasco & family,27.9,up arrow,70,Mexico,Mining,Metals & Mining
63,Lee Shau Kee,27.7,down arrow,96,Hong Kong,Real estate,Real Estate
64,Jeff Yass,27.6,down arrow,65,United States,Trading, investments,Finance & Investments
65,Andrea Pignataro,27.5,new to list,53,Italy,Financial software,Finance & Investments
66,Low Tuck Kwong,27.4,up arrow,75,Indonesia,Coal,Energy
66,Leonid Mikhelson & family,27.4,up arrow,68,Russia,Gas, chemicals,Energy
68,Stefan Quandt,27.3,up arrow,57,Germany,BMW,Automotive
69,Dilip Shanghvi,26.7,up arrow,68,India,Pharmaceuticals,Healthcare
70,Vladimir Lisin,26.6,up arrow,67,Russia,Steel, transport,Metals & Mining
71,R. Budi Hartono,26.5,up arrow,83,Indonesia,Banking, tobacco,Finance & Investments
71,Susanne Klatten,26.5,down arrow,61,Germany,BMW, pharmaceuticals,Automotive
73,Thomas Frist, Jr. & family,26.2,up arrow,85,United States,Hospitals,Healthcare
73,Daniel Gilbert,26.2,up arrow,62,United States,Quicken Loans,Finance & Investments
75,Iris Fontbona & family,25.7,up arrow,81,Chile,Mining,Metals & Mining
76,Emmanuel Besnier,25.5,up arrow,53,France,Cheese,Food & Beverage
76,Michael Hartono,25.5,up arrow,84,Indonesia,Banking, tobacco,Manufacturing
76,Alexey Mordashov & family,25.5,up arrow,58,Russia,Steel, investments,Metals & Mining
79,John Menard, Jr.,25.2,up arrow,84,United States,Home improvement stores,Fashion & Retail
80,He Xiangjian & family,25.1,up arrow,81,China,Home appliances,Manufacturing
81,Jack Ma,24.5,up arrow,59,China,E-commerce,Technology
81,Elaine Marshall & family,24.5,list returnee,81,United States,Koch Industries,Diversified
83,Autry Stephens,24.3,up arrow,86,United States,Oil,Energy
84,Eyal Ofer,24,up arrow,73,Israel,Real estate, shipping,Diversified
85,Vladimir Potanin,23.7,unchanged,63,Russia,Metals,Metals & Mining
86,Gennady Timchenko,23.4,up arrow,71,Russia,Oil, gas,Energy
87,Takemitsu Takizaki,23.1,up arrow,78,Japan,Sensors,Manufacturing
88,Vinod Adani,23,up arrow,75,Cyprus,Infrastructure, commodities,Diversified
89,Robin Zeng,22.9,down arrow,55,Hong Kong,Batteries,Automotive
90,Cyrus Poonawalla,21.3,down arrow,82,India,Vaccines,Healthcare
91,Andrey Melnichenko & family,21.1,down arrow,52,Russia,Fertilizers, coal,Metals & Mining
92,Diane Hendricks,20.9,up arrow,77,United States,Building supplies,Construction & Engineering
92,Kushal Pal Singh,20.9,up arrow,92,India,Real estate,Real Estate
94,Vicky Safra & family,20.6,up arrow,71,Brazil,Banking,Finance & Investments
94,Eric Schmidt,20.6,up arrow,68,United States,Google,Technology
94,David Tepper,20.6,up arrow,66,United States,Hedge funds,Finance & Investments
97,Steve Cohen,19.8,up arrow,67,United States,Hedge funds,Finance & Investments
98,Kumar Birla,19.7,up arrow,56,India,Diversified,Diversified
99,Rick Cohen & family,19.6,up arrow,71,United States,Warehouse automation,Technology
100,Rupert Murdoch & family,19.5,up arrow,93,United States,Newspapers, TV network,Media & Entertainment
101,Andrew Forrest & family,19,down arrow,62,Australia,Mining,Metals & Mining
102,Harold Hamm & family,18.5,unchanged,78,United States,Oil & gas,Energy
103,Dustin Moskovitz,18.3,up arrow,39,United States,Facebook,Technology
104,Donald Bren,18,up arrow,91,United States,Real estate,Real Estate
104,Renata Kellnerova & family,18,up arrow,56,Czech Republic,Finance, telecommunications,Finance & Investments